Grant,"Organization Name","Focus Area",Amount,Date
"Reclaim Philadelphia — Judge Accountability Work (2019)","Reclaim Philadelphia","Criminal Justice Reform","$170,000","September 2019"
"Centre for Effective Altruism — General Support and Community-Building Grants (2019)","Centre for Effective Altruism","Effective Altruism Community Growth","$1,755,921","September 2019"
"InMyWords — General Support",InMyWords,"Criminal Justice Reform","$21,500","July 2019"
"Legal Services for Prisoners with Children — CJR Events Support","Legal Services for Prisoners with Children","Criminal Justice Reform","$10,000","February 2019"
"Photo Patch Foundation — General Support (2019)","Photo Patch Foundation","Criminal Justice Reform","$10,000","April 2019"
"Compassion in World Farming — Fish Welfare and Efforts to End Cages (2019)","Compassion in World Farming","Farm Animal Welfare","$2,169,429","September 2019"
"Soko Tierschutz — Factory Farm Investigations","Soko Tierschutz","Farm Animal Welfare","$100,000","March 2019"
"Essie Justice Group — General Support (August 2019)","Essie Justice Group","Criminal Justice Reform","$150,000","August 2019"
"Alliance for Safety and Justice — Campaign Academy","Alliance for Safety and Justice","Criminal Justice Reform","$250,000","August 2019"
"Results for Development — Childhood Pneumonia Treatment Program (2019)","Results for Development","Global Health & Development","$5,605,398","January 2019"
"Project NIA — Transformative Justice Work Led by Mariame Kaba (2019)","Project NIA","Criminal Justice Reform","$165,000","August 2019"
"UC Berkeley — Deworming and Cash Transfers (2019)","UC Berkeley","Global Health & Development","$170,000","February 2019"
"Sinergia Animal — Animal Welfare in Southeast Asia (2019)","Sinergia Animal","Cage-Free Reforms","$187,600","June 2019"
"Mijente — Criminal Justice Reform (2019)",Mijente,"Criminal Justice Reform","$250,000","July 2019"
"Quest for Democracy Fund — Just Mercy","Quest for Democracy Fund","Criminal Justice Reform","$200,000","August 2019"
"LatinoJustice — Texas Office for Latinx Engagement",LatinoJustice,"Criminal Justice Reform","$250,000","May 2019"
"LatinoJustice — Work to End Mass Incarceration (2019)",LatinoJustice,"Criminal Justice Reform","$400,000","August 2019"
"Community Justice Exchange — Technical Assistance and Campaign Support","Community Justice Exchange","Criminal Justice Reform","$900,000","August 2019"
"The Justice Collaborative — Just Mercy","The Justice Collaborative","Criminal Justice Reform","$300,000","August 2019"
"Johns Hopkins Center for Health Security — Biosecurity, Global Health Security, and Global Catastrophic Risks (2019)","Johns Hopkins Center for Health Security","Biosecurity & Pandemic Preparedness","$20,192,755","September 2019"
"Essere Animali — Farm Animal Welfare Work in Italy","Essere Animali","Broiler Chicken Welfare","$150,000","February 2019"
"Animal Equality — Broiler Welfare Campaigns","Animal Equality","Farm Animal Welfare","$215,000","January 2019"
"Mercy For Animals — Broiler Welfare Campaigns","Mercy For Animals","Broiler Chicken Welfare","$261,000","January 2019"
"Prism — Criminal Justice Vertical",Prism,"Criminal Justice Reform","$300,000","May 2019"
"Colorado Criminal Justice Reform Coalition — General Support (2019)","Colorado Criminal Justice Reform Coalition","Criminal Justice Reform","$400,000","August 2019"
"Animal Rights Center Japan — Broiler and Layer Hen Campaigns","Animal Rights Center Japan","Broiler Chicken Welfare","$274,000","July 2019"
"Forward Justice — Criminal Justice Reform Advocacy and Organizing (2019)","Forward Justice","Criminal Justice Reform","$450,000","August 2019"
"New Virginia Majority Education Fund — Criminal Justice Reform (June 2019)","New Virginia Majority Education Fund","Criminal Justice Reform","$200,000","June 2019"
"Citizen Action of New York — Public Education and Engagement","Citizen Action of New York","Criminal Justice Reform","$200,000","May 2019"
"Group Nine Media – Factory Farming Videos (2019)","Group Nine Media","Farm Animal Welfare","$215,000","July 2019"
"Greater Greater Washington — Housing and Land Use Reform (2019)","Greater Greater Washington","Land Use Reform","$300,000","August 2019"
"Dignity and Power Now — JusticeLA Campaign (2019)","Dignity and Power Now","Criminal Justice Reform","$500,000","August 2019"
"WildAid — Reducing Meat Consumption in Asia (2019)",WildAid,"Farm Animal Welfare","$500,000","February 2019"
"Albert Schweitzer Foundation — General Support (2019)","Albert Schweitzer Foundation","Broiler Chicken Welfare","$1,600,000","August 2019"
"The Justice Collaborative — General Support (August 2019)","The Justice Collaborative","Criminal Justice Reform","$7,800,000","August 2019"
"European Summer Program on Rationality — General Support","European Summer Program on Rationality","Effective Altruism Community Growth","$510,000","July 2019"
"Eurogroup for Animals — European Union Trade Strategy","Eurogroup for Animals","Farm Animal Welfare","$700,000","July 2019"
"Reform Jails and Community Reinvestment Initiative — Reform L.A. Jails Ballot Measure (July 2019)","Reform Jails and Community Reinvestment Initiative","Criminal Justice Reform","$750,000","July 2019"
"Research Institute of Industrial Economics — Genomic Research Methods (2019)","Research Institute of Industrial Economics","Scientific Research","$1,500,000","April 2019"
"Sightline Institute — YIMBYtown (2019)","Sightline Institute","Land Use Reform","$50,000","June 2019"
"Sinergia Animal — General Support (2019)","Sinergia Animal","Broiler Chicken Welfare","$245,000","March 2019"
"University of Pennsylvania — Research on Mammalian Reproduction (Kotaro Sasaki) (2019)","University of Pennsylvania","Transformative Basic Science","$660,000","February 2019"
"Prison Policy Initiative — General Support (2019)","Prison Policy Initiative","Criminal Justice Reform","$300,000","June 2019"
"The Greenfield Project — General Support (2019)","The Greenfield Project","Farm Animal Welfare","$250,000","May 2019"
"UC Berkeley — Aging Research (Irina Conboy) (2019)","UC Berkeley","Transformative Basic Science","$304,000","June 2019"
"Asia Research & Engagement — Farm Animal Welfare (2019)","Asia Research &amp; Engagement","Farm Animal Welfare","$340,875","May 2019"
"The Pollination Project — Global Animal Advocacy Movement (2019)","The Pollination Project","Farm Animal Welfare","$362,000","July 2019"
"Federation of Indian Animal Protection Organisations — India Farm Animal Welfare (2019)","Federation of Indian Animal Protection Organisations","Broiler Chicken Welfare","$445,000","June 2019"
"Global Food Partners —  General Support","Global Food Partners","Farm Animal Welfare","$3,514,761","September 2019"
"Project Peanut Butter — Ready-to-Use Therapeutic Food RCT (2019)","Project Peanut Butter","Science for Global Health","$484,785","July 2019"
"World Animal Protection — Broiler Chicken Welfare (August 2019)","World Animal Protection","Broiler Chicken Welfare","$557,446","August 2019"
"Humane Society International India — Animal Welfare Reform (2019)","Humane Society International India","Farm Animal Welfare","$1,039,124","June 2019"
"California Institute of Technology — Research on Reproductive Biology (Magdalena Zernicka-Goetz)","California Institute of Technology","Transformative Basic Science","$2,000,000","July 2019"
"Kyushu University — Research on Mammalian Reproduction (Katsuhiko Hayashi)","Kyushu University","Transformative Basic Science","$2,500,000","August 2019"
"Center for Global Development — General Support (2019)","Center for Global Development","Global Health & Development","$3,000,000","June 2019"
"Mercy For Animals — Corporate Campaigns (2019)","Mercy For Animals","Broiler Chicken Welfare","$6,638,000","July 2019"
"Center for Story-Based Strategy — General Support","Center for Story-Based Strategy","Criminal Justice Reform","$100,000","March 2019"
"Effective Altruism Foundation — Research and Operations","Effective Altruism Foundation","Effective Altruism Community Growth","$1,000,000","July 2019"
"Engineers Without Borders USA — Off-Grid Refrigeration Challenge","Engineers Without Borders USA","Science for Global Health","$500,000","May 2019"
"Global Catastrophic Risks Scholarships — Scholarship Support (2019)",,"Effective Altruism Community Growth","$547,800","May 2019"
"Altruistic Technology Labs —  Work on Biological Risk Prevention","Altruistic Technology Labs","Biosecurity & Pandemic Preparedness","$440,525","May 2019"
"Anima — Movement Building",Anima,"Farm Animal Welfare","$367,222","April 2019"
"We Animals — Content for Farm Animal Welfare Advocacy (2019)","We Animals","Farm Animal Welfare","$240,000","February 2019"
"Rethink Priorities — Farm Animal Welfare Research","Rethink Priorities","Farm Animal Welfare","$200,000","March 2019"
"New York University — Work on Fish Welfare (2019)","New York University","Farm Animal Welfare","$125,840","March 2019"
"Justice Solutions — Anne Seymour’s Crime Victims and Survivors Work (2019)","Justice Solutions","Criminal Justice Reform","$115,000","February 2019"
"Yale University School of Medicine — Vascular Therapy Research","Yale University School of Medicine","Human Health and Wellbeing","$180,000","March 2019"
"Massachusetts Institute of Technology Media Lab — Kevin Esvelt’s Research (2019)","Massachusetts Institute of Technology Media Lab",Longtermism,"$1,000,000","March 2019"
"Humane Slaughter Association — Wild-Caught Fish Welfare","Humane Slaughter Association","Farm Animal Welfare","$570,402","March 2019"
"World Animal Protection — Broiler Chicken Welfare (April 2019)","World Animal Protection","Broiler Chicken Welfare","$781,498","April 2019"
"Life Sciences Research Foundation — Young Investigators (2019)","Life Sciences Research Foundation","Transformative Basic Science","$1,170,000","April 2019"
"Compassion in World Farming — Farm Animal Welfare Advocacy in East Asia (2019)","Compassion in World Farming","Farm Animal Welfare","$1,891,890","March 2019"
"Rita Allen Foundation — Fellowship Support","Rita Allen Foundation","Human Health and Wellbeing","$495,000","April 2019"
"University of California, Los Angeles — Epigenetic Clock Research (Steve Horvath)","University of California, Los Angeles","Transformative Basic Science","$2,368,300","April 2019"
"VOCAL-NY Action Fund — Prosecutor Accountability","VOCAL-NY Action Fund","Criminal Justice Reform","$155,000","March 2019"
"Tampere University — Work on Global Catastrophic Risks (2019)","Tampere University",Longtermism,"$15,000","April 2019"
"Sightline Institute – Housing and Urban Development (February 2019)","Sightline Institute","Land Use Reform","$150,000","February 2019"
"Just Liberty— General Support (April 2019)","Just Liberty","Criminal Justice Reform","$100,000","April 2019"
"Family Farm Action — Opposing the King Amendment","Family Farm Action","Farm Animal Welfare","$153,000","December 2017"
"FAI Farms — Promoting Cage-Free Eggs in China","FAI Farms","Cage-Free Reforms","$107,200","April 2019"
"FAI Farms — Tilapia Welfare","FAI Farms","Farm Animal Welfare","$426,000","April 2019"
"Biosecure Ltd — Campaign Against Bioweapons Research","Biosecure Ltd","Biosecurity & Pandemic Preparedness","$25,000","December 2018"
"Real Justice PAC — Criminal Justice Reform (April 2019)","Real Justice PAC","Criminal Justice Reform","$50,000","April 2019"
"Working Families Party — Prosecutor Reforms in New York (2019)","Working Families Party","Criminal Justice Reform","$117,300","April 2019"
"Princeton University — Translation of Books on Animal Ethics","Princeton University","Farm Animal Welfare","$170,000","January 2019"
"Royal Veterinary College — Halal Poultry Slaughter Research","Royal Veterinary College","Broiler Chicken Welfare","$130,850","January 2019"
"Farm Forward — Exit Grant","Farm Forward, Inc","Farm Animal Welfare","$166,000","January 2019"
"Just Outcomes — Restorative Justice Convenings","Just Outcomes","Criminal Justice Reform","$30,000","March 2019"
"Ayni Institute — Criminal Justice Reform Coaching (2019)","Ayni Institute","Criminal Justice Reform","$264,000","March 2019"
"California Renters Legal Advocacy and Education Fund — General Support (2019)","California Renters Legal Advocacy and Education Fund","Land Use Reform","$340,000","February 2019"
"Peterson Institute for International Economics — Macroeconomic Research Projects","Peterson Institute for International Economics","Macroeconomic Stabilization Policy","$400,000","January 2019"
"University of Michigan — Research on Mammalian Gamete Development (Sue Hammoud)","University of Michigan","Transformative Basic Science","$2,500,000","March 2019"
"University of Southern California — Social Science Genetic Association Consortium (January 2019)","University of Southern California","Scientific Research","$2,250,000","January 2019"
"Open Phil AI Fellowship — 2019 Class","Open Phil AI Fellowship",Longtermism,"$2,325,000","May 2019"
"Employ America — General Support (April 2019)","Employ America","Macroeconomic Stabilization Policy","$300,000","April 2019"
"California YIMBY — General Support (2019)","California YIMBY","Land Use Reform","$2,000,000","April 2019"
"Compassion Over Killing — Exit Grant","Compassion Over Killing","Farm Animal Welfare","$250,000","January 2019"
"Humane Society Legislative Fund — Opposing the King Amendment","Humane Society Legislative Fund","Farm Animal Welfare","$395,094","December 2017"
"The Humane League — Broiler Welfare Campaigns","The Humane League","Broiler Chicken Welfare","$750,000","January 2019"
"Fair and Just Prosecution — General Support (2019)","Fair and Just Prosecution","Criminal Justice Reform","$1,500,000","February 2019"
"The Humane League — Open Wing Alliance (2019)","The Humane League","Cage-Free Reforms","$1,565,000","March 2019"
"University Health Network — Preterm Birth Research (2019)","University Health Network","Science for Global Health","$1,134,975","February 2019"
"World Animal Protection — Farm Animal Welfare Advocacy in China (2019)","World Animal Protection","Farm Animal Welfare","$1,200,000","February 2019"
"Center for Global Development — Labor Mobility Partnerships","Center for Global Development","Immigration Policy","$709,888","March 2019"
"Centre for Effective Altruism — General Support (2019)","Centre for Effective Altruism","Other Areas","$2,756,250","February 2019"
"Princeton University— Animal Liberation","Princeton University,The Trustees of Princeton University","Farm Animal Welfare","$100,000","February 2019"
"Kyoto University — Research on Reproductive Biology (Mitinori Saitou)","Kyoto University","Transformative Basic Science","$4,000,000","April 2019"
"Evidence Action — Impact Evaluation of Iron and Folic Acid Supplementation (“Phase 2”)","Evidence Action","Global Health & Development","$800,000","March 2019"
"Evidence Action — Strengthen Operations (2019)","Evidence Action","Global Health & Development","$7,751,915","March 2019"
"Evidence Action Beta —  Iron and Folic Acid Supplementation (“Phase 2”)","Evidence Action Beta","Global Health & Development","$3,408,259","November 2018"
"Foundation for Food and Agriculture Research — Egg Tech Challenge","Foundation for Food and Agriculture Research","Cage-Free Reforms","$3,000,000","December 2018"
"gui2de — Zusha! Road Safety Campaign (December 2018)","Georgetown University Initiative on Innovation, Development, and Evaluation","GiveWell-Recommended Charities","$100,000","December 2018"
"Project Healthy Children — General Support (December 2018)","Project Healthy Children","GiveWell-Recommended Charities","$100,000","December 2018"
"Living Goods — General Support (January 2019)","Living Goods","GiveWell-Recommended Charities","$100,000","January 2019"
"Global Alliance for Improved Nutrition — Universal Salt Iodization (December 2018)","Global Alliance for Improved Nutrition","GiveWell-Recommended Charities","$100,000","December 2018"
"Iodine Global Network — General Support (January 2019)","Iodine Global Network","GiveWell-Recommended Charities","$100,000","January 2019"
"Food Fortification Initiative — General Support (December 2018)","Food Fortification Initiative","GiveWell-Recommended Charities","$100,000","December 2018"
"Development Media International — General Support (December 2018)","Development Media International","GiveWell-Recommended Charities","$100,000","December 2018"
"Machine Intelligence Research Institute — General Support (2019)","Machine Intelligence Research Institute",Longtermism,"$2,652,500","February 2019"
"Jeanne Marchig Centre — Farm Animal Welfare Advocacy in East Asia (2019)","Jeanne Marchig International Centre for Animal Welfare Education","Farm Animal Welfare","$368,188","February 2019"
"International Refugee Assistance Project — General Support (2019)","International Refugee Assistance Project","Immigration Policy","$1,000,000","January 2019"
"80,000 Hours — General Support (2019)","80,000 Hours","Effective Altruism Community Growth","$4,795,803","February 2019"
"Sherlock Biosciences — Research on Viral Diagnostics","Sherlock Biosciences","Science Supporting Biosecurity and Pandemic Preparedness","$17,500,000","January 2019"
"The END Fund — Deworming Programs (December 2018)","The END Fund","GiveWell-Recommended Charities","$2,500,000","December 2018"
"Schistosomiasis Control Initiative — General Support (2019)","Schistosomiasis Control Initiative","GiveWell-Recommended Charities","$2,500,000","March 2019"
"GiveDirectly — General Support (December 2018)",GiveDirectly,"GiveWell-Recommended Charities","$2,500,000","December 2018"
"Against Malaria Foundation — General Support (December 2018)","Against Malaria Foundation","GiveWell-Recommended Charities","$2,500,000","December 2018"
"Helen Keller International  — Vitamin A Supplementation (December 2018)","Helen Keller International","GiveWell-Recommended Charities","$6,500,000","December 2018"
"Sightsavers — Deworming Programs (January 2019)",Sightsavers,"GiveWell-Recommended Charities","$9,700,000","January 2019"
"Malaria Consortium — Seasonal Malaria Chemoprevention Programs (December 2018)","Malaria Consortium","GiveWell-Recommended Charities","$26,600,000","December 2018"
"Evidence Action — Dispensers for Safe Water Program (2018)","Evidence Action","GiveWell-Recommended Charities","$100,000","December 2018"
"Deworm the World Initiative — General Support (December 2018)","Evidence Action","GiveWell-Recommended Charities","$10,400,000","December 2018"
"Berkeley Existential Risk Initiative — CHAI ML Engineers","Berkeley Existential Risk Initiative",Longtermism,"$250,000","January 2019"
"The Center for Election Science — General Support (2019)","The Center for Election Science","Other Areas","$1,800,000","February 2019"
"Georgetown University — Center for Security and Emerging Technology","Georgetown University",Longtermism,"$55,000,000","January 2019"
"UC Berkeley — Alternative Meats Lab (January 2019)","UC Berkeley","Alternatives to Animal Products","$131,579","January 2019"
"EicOsis Human Health, Inc. — Pain Research","EicOsis Human Health, Inc.","Human Health and Wellbeing","$5,000,000","November 2018"
"Center for Global Development — Gene Drive Research","Center for Global Development","Science for Global Health","$348,550","January 2019"
"Center for International Security and Cooperation — Megan Palmer’s Biosecurity Research (2019)","Center for International Security and Cooperation","Biosecurity & Pandemic Preparedness","$1,625,000","January 2019"
"The Leadership Conference on Civil and Human Rights — Federal Criminal Justice Reform Advocacy","The Leadership Conference on Civil and Human Rights","Criminal Justice Reform","$200,000","December 2018"
"Georgia Institute of Technology — Biology Research (Saad Bhamla)","Georgia Institute of Technology","Transformative Basic Science","$50,000","December 2018"
"National Council for Incarcerated and Formerly Incarcerated Women and Girls — General Support (December 2018)","National Council for Incarcerated and Formerly Incarcerated Women and Girls","Criminal Justice Reform","$350,000","December 2018"
"Citizens for Juvenile Justice — General Support (2018)","Citizens for Juvenile Justice","Criminal Justice Reform","$75,000","December 2018"
"University of Minnesota, Twin Cities — Nanomaterials Research (Claudia Schmidt-Dannert)","University of Minnesota, Twin Cities","Transformative Basic Science","$150,000","December 2018"
"Color Of Change — Criminal Justice Reform (2018)","Color of Change","Criminal Justice Reform","$1,000,000","December 2018"
"Otwarte Klatki — CARE Conference Travel Grants","Otwarte Klatki","Farm Animal Welfare","$10,350","October 2018"
"iGEM — Synthetic Biology Safety and Security (2018)","International Genetically Engineered Machine Foundation","Biosecurity & Pandemic Preparedness","$420,000","November 2018"
"Reform Jails and Community Reinvestment Initiative — Reform L.A. Jails Ballot Measure (January 2019)","Reform Jails and Community Reinvestment Initiative","Criminal Justice Reform","$491,000","January 2019"
"Court Watch NOLA — General Support (November 2018)","Court Watch NOLA","Criminal Justice Reform","$200,000","November 2018"
"Mass Liberation Project — General Support (2019)","Mass Liberation Project","Criminal Justice Reform","$600,000","June 2019"
"Promise of Justice Initiative — East Baton Rouge Parish Prison Reform Coalition (2018)","Promise of Justice Initiative","Criminal Justice Reform","$75,000","December 2018"
"Smart Justice CA — California Criminal Justice Reform Lobbying (2018)","Smart Justice CA","Criminal Justice Reform","$25,000","December 2018"
"The University of Sydney — 2019 Global Health Security Conference","University of Sydney","Biosecurity & Pandemic Preparedness","$32,621","December 2018"
"Working Families Party — Prosecutor Reforms in New York (2018)","Working Families Party, Inc.","Criminal Justice Reform","$109,600","December 2018"
"Animal Welfare Standards Project — Animal Welfare Institute","Animal Welfare Standards Project","Farm Animal Welfare","$1,489,201","November 2018"
"Nuclear Threat Initiative — Projects to Reduce Global Catastrophic Biological Risks","Nuclear Threat Initiative","Biosecurity & Pandemic Preparedness","$1,904,942","November 2018"
"UC Berkeley — AI Safety Research (2018)","UC Berkeley",Longtermism,"$1,145,000","November 2018"
"Global Animal Partnership — Farm Animal Welfare Activities (2018)","Global Animal Partnership","Farm Animal Welfare","$500,000","November 2018"
"University of British Columbia — Research on Pig Welfare","University of British Columbia","Farm Animal Welfare","$50,186","November 2018"
"University of Bern — Higher Welfare Cage-Free Systems","University of Bern","Cage-Free Reforms","$150,000","November 2018"
"Alliance for Safety and Justice Action Fund — General Support (2018)","Alliance for Safety and Justice Action Fund","Criminal Justice Reform","$2,000,000","November 2018"
"Alliance for Safety and Justice — General Support (2018)","Alliance for Safety and Justice","Criminal Justice Reform","$3,000,000","November 2018"
"Forward Justice — Criminal Justice Reform Advocacy and Organizing (2018)","Forward Justice","Criminal Justice Reform","$150,000","November 2018"
"Corrections Accountability Project — General Support (2018)","Corrections Accountability Project","Criminal Justice Reform","$150,000","November 2018"
"University of Edinburgh — Scholarship Program in Applied Animal Behavior and Animal Welfare","University of Edinburgh  ","Farm Animal Welfare","$102,041","October 2018"
"Food Frontier — General Support","Food Frontier","Alternatives to Animal Products","$100,000","October 2018"
"Momentum — Criminal Justice Reform Trainings",Momentum,"Criminal Justice Reform","$15,000","October 2018"
"Washington Center for Equitable Growth — Automatic Stabilizers Conference","Washington Center for Equitable Growth","Macroeconomic Stabilization Policy","$100,000","October 2018"
"Photo Patch Foundation  — General Support","Photo Patch Foundation","Criminal Justice Reform","$10,000","October 2018"
"Boston Children’s Hospital — Chronic Pain Research (Yi Zhang)","Boston Children's Hospital","Transformative Basic Science","$1,695,376","October 2018"
"The Ahimsa Collective — “Life Comes From It” Fund Administration","The Ahimsa Collective","Criminal Justice Reform","$150,000","November 2018"
"Citizen Action of New York — Criminal Justice Reform Advocacy in New York State","Citizen Action of New York","Criminal Justice Reform","$266,000","October 2018"
"Chicago Community Bond Fund — Coordinator for Criminal Justice Reform Coalition","Chicago Community Bond Fund","Criminal Justice Reform","$80,000","October 2018"
"University of Michigan — Support for David Manley","University of Michigan","Other Areas","$46,696","October 2018"
"New Virginia Majority Education Fund — Criminal Justice Reform (2018)","New Virginia Majority Education Fund","Criminal Justice Reform","$220,000","October 2018"
"CDC Foundation — Malaria Control Research Project (2018)","CDC Foundation","Science for Global Health","$1,044,501","October 2018"
"Duke University — CRISPR-Based Epigenome Editing Tools (Charles Gersbach)","Duke University","Scientific Innovation: Tools and Techniques","$2,550,171","October 2018"
"Oxford University — D.Phil Support for Andrew Snyder-Beattie","Oxford University","Biosecurity & Pandemic Preparedness","$26,086","October 2018"
"Center for a New American Security — Outreach on Technological Risk Led by Richard Danzig","Center for a New American Security",Longtermism,"$400,352","September 2018"
"Community Justice Exchange — General Support","Community Justice Exchange","Criminal Justice Reform","$250,000","September 2018"
"Oxford Uehiro Centre for Practical Ethics — Animal Sentience Workshop","Oxford Uehiro Centre for Practical Ethics","Farm Animal Welfare","$6,683","October 2018"
"Better Eating International — Organizational Development","Better Eating International","Farm Animal Welfare","$12,690","September 2018"
"UC Berkeley — Research on Drought-Tolerant Rice (Brian Staskawicz)","UC Berkeley","Science for Global Health","$200,000","October 2018"
"Global Animal Partnership — Broiler Chicken Welfare Research","Global Animal Partnership","Broiler Chicken Welfare","$515,000","February 2017"
"GoalsRL — Workshop on Goal Specifications for Reinforcement Learning",GoalsRL,Longtermism,"$7,500","August 2018"
"Eurogroup for Animals — Fish Welfare (2018)","Eurogroup for Animals","Farm Animal Welfare","$990,000","September 2018"
"Prevent Cruelty California — “Yes on Prop 12” Campaign","Prevent Cruelty California","Cage-Free Reforms","$4,000,000","October 2018"
"New Incentives — General Support (November 2017)","New Incentives","Global Health & Development","$5,944,203","November 2017"
"American Conservative Union Foundation — Criminal Justice Reform (2018)","American Conservative Union Foundation","Criminal Justice Reform","$212,000","August 2018"
"Real Justice PAC — Criminal Justice Reform (August 2018)","Real Justice PAC","Criminal Justice Reform","$850,000","August 2018"
"Fórum Nacional de Proteção e Defesa Animal — Crate- and Cage-Free Campaigning in Brazil (2018)","Fórum Nacional de Proteção e Defesa Animal","Farm Animal Welfare","$200,000","August 2018"
"The Humane League — General Support (2018)","The Humane League","Cage-Free Reforms","$10,000,000","August 2018"
"California YIMBY — General Support (August 2018)","California YIMBY","Land Use Reform","$350,000","August 2018"
"Texas Organizing Project Education Fund — Working With MOVE San Antonio Foundation","Texas Organizing Project Education Fund","Criminal Justice Reform","$56,000","August 2018"
"UCSF — Chronic Pain Research (Allan Basbaum) (2019)","University of California, San Francisco","Transformative Basic Science","$1,021,318","August 2018"
"Evidence Action Beta — Incubator Program","Evidence Action Beta","Global Health & Development","$5,069,866","July 2018"
"Players Coalition Charitable Foundation — Criminal Justice Reform","Players Coalition Charitable Foundation","Criminal Justice Reform","$50,000","August 2018"
"Civil Rights Corps — General Support (2018)","Civil Rights Corps","Criminal Justice Reform","$25,000","August 2018"
"The Ladies of Hope Ministries — Hope House Project","The Ladies of Hope Ministries","Criminal Justice Reform","$155,000","August 2018"
"Faith in Texas — Criminal Justice Reform Work","Faith in Texas","Criminal Justice Reform","$250,000","August 2018"
"The Soze Agency — Right of Return Fellowship","The Soze Agency","Criminal Justice Reform","$300,000","August 2018"
"Aubin Pictures — Criminal Justice Media Archive","Aubin Pictures","Criminal Justice Reform","$60,000","July 2018"
"Stanford University — Machine Learning Security Research Led by Dan Boneh and Florian Tramer","Stanford University",Longtermism,"$100,000","July 2018"
"Future of Humanity Institute — Work on Global Catastrophic Risks","Future of Humanity Institute",Longtermism,"$12,250,810","July 2018"
"Griffith University — Farm Animal Welfare Advocacy in China (2018)","Griffith University","Farm Animal Welfare","$100,000","August 2018"
"Plant Based Foods Association — State-Level Policy (2018)","Plant Based Foods Association","Alternatives to Animal Products","$250,000","August 2018"
"Early-Career Funding for Global Catastrophic Biological Risks — Scholarship Support (2018)","Early-Career Funding for Global Catastrophic Biological Risks","Biosecurity & Pandemic Preparedness","$570,000","May 2018"
"Floridians for a Fair Democracy — Ballot Committee Contribution","Floridians for a Fair Democracy","Criminal Justice Reform","$750,000","August 2018"
"One for the World — General Support","One for the World","Global Health & Development","$153,750","July 2018"
"Economic Policy Institute — Macroeconomic Policy Research (2018)","Economic Policy Institute","Macroeconomic Stabilization Policy","$700,000","July 2018"
"IDinsight — Embedded GiveWell Team (2018)",IDinsight,"Global Health & Development","$1,196,729","April 2018"
"Prosecutor Impact — Prosecutor Training Pilot","Prosecutor Impact","Criminal Justice Reform","$50,000","July 2018"
"Center on Budget and Policy Priorities — Full Employment Project (2018)","Center on Budget and Policy Priorities","Macroeconomic Stabilization Policy","$250,000","July 2018"
"Wilson Center — AI Policy Seminar Series","The Wilson Center",Longtermism,"$400,000","July 2018"
"AI Scholarships — Scholarship Support (2018)","AI Scholarships",Longtermism,"$159,000","February 2018"
"Johns Hopkins Center for Health Security  — SynBioBeta 2018 Meeting","Johns Hopkins Center for Health Security","Biosecurity & Pandemic Preparedness","$169,600","June 2018"
"National Family Defense Project — General Support","National Family Defense Project","Criminal Justice Reform","$120,000","July 2018"
"Charity Science — Development of New Animal Welfare Charities","Charity Science","Farm Animal Welfare","$265,000","July 2018"
"New Economy Organisers Network — KIN Convenings","New Economy Organisers Network","Criminal Justice Reform","$42,285","July 2018"
"Oxford University — Research on the Global Politics of AI","Oxford University",Longtermism,"$429,770","July 2018"
"Changing Tastes — Market Insights and Business Engagement on Fish Welfare","Changing Tastes","Farm Animal Welfare","$50,000","April 2018"
"The People’s Lobby Education Institute — Work on Prosecutorial Accountability in Chicago (2018)","The People's Lobby Education Institute","Criminal Justice Reform","$125,000","June 2018"
"Workers Center for Racial Justice — Prosecutorial Accountability in Chicago (2018)","Workers Center for Racial Justice","Criminal Justice Reform","$125,000","June 2018"
"GiveWell — General Support (2018)",GiveWell,"Global Health & Development","$751,179","June 2018"
"Animal Equality — Corporate Animal Welfare Campaigns","Animal Equality","Broiler Chicken Welfare","$2,772,430","June 2018"
"Nuclear Threat Initiative — Global Health Security Index","Nuclear Threat Initiative","Biosecurity & Pandemic Preparedness","$3,556,773","July 2018"
"Commonwealth Veterinary Association — Animal Welfare Workshop","Commonwealth Veterinary Association","Farm Animal Welfare","$31,355","June 2018"
"Future of Life Institute — General Support (2018)","Future of Life Institute",Longtermism,"$250,000","June 2018"
"Mamoreruinochi wo Mamorukai — Legal Aid for Scientists in Japan","Mamoreruinochi wo Mamorukai","Scientific Research","$40,000","February 2018"
"Evidence Action Beta — Iron and Folic Acid Supplementation","Evidence Action","Global Health & Development","$320,000","June 2018"
"Fortify Health — General Support","Fortify Health","Global Health & Development","$295,217","June 2018"
"Centre for Effective Altruism — General Support (2018)","Centre for Effective Altruism","Effective Altruism Community Growth","$2,688,000","June 2018"
"AI Impacts — General Support (2018)","AI Impacts",Longtermism,"$100,000","June 2018"
"Compassion in World Farming — Organizational Development","Compassion in World Farming","Farm Animal Welfare","$10,720","June 2018"
"Machine Intelligence Research Institute — AI Safety Retraining Program","Machine Intelligence Research Institute",Longtermism,"$150,000","June 2018"
"Prison Policy Initiative — General Support (2018)","Prison Policy Initiative","Criminal Justice Reform","$100,000","June 2018"
"We Got Us Now — General Support (2018)","We Got Us Now","Criminal Justice Reform","$100,000","June 2018"
"Vote Safe —  Criminal Justice Reform Policy Advocacy","Vote Safe","Criminal Justice Reform","$250,000","February 2016"
